member_name_last_first,state,project_name,amount_requested_in_thousands_of_dollars,project_city_county_state,recipient_name,recipient_address,project_purpose,project_justification,fiscal_year
Hangar, 20,179 SF, 1959 vintage; Building 5217, Tech Supply, 9,088 SF, 1978 vintage; Building 5257, Phase Hangar, 35,392 SF,
vintage 1964, and Building 5101, BN HQ building, 36,678 SF, 1939 vintage. Due to their age and design constraints, these buildings
are dysfunctional and inadequate for current aviation maintenance mission standards. Maintenance costs are excessive, requiring
continuous effort to keep the facilities operational. Recurring issues include roof leaks, water main leaks, traveling crane limitations,
water sprinkler inspection failure and foam fire suppression system inadvertent discharges. The design and current condition of
these buildings present major obstacles for achieving mission and equipment readiness, as such the Army Reserve must make
constant adjustments to operational schedules. As an example, aviation units must package and ship blades and other components
off site for painting which is an inefficient use of resources. The Installation Status Report Mission rating for the hangars is F4 for
non-functional.

Army Reserve aviation assets will continue to operate in dysfunctional and inadequate facilities weakening mission readiness and
funding facility repairs that only provide marginal operational capability. Excessive dollars are spent shipping components off site
for repair due to the lack of space and the antiquated design of the existing facilities.

Required assessments have been made for supporting facilities and the project is not in a 100-year floodplain in-accordance-with
Executive Order 11988. This project has been coordinated with the installation physical security plan, and all physical security
measures are included. All required antiterrorism protection measures are included. Alternative methods of meeting this
requirement have been explored during project development. This project is the only feasible option to meet the requirement. The
Deputy Assistant Secretary of the Army (Installations, Housing and Partnerships) certifies that this project has been considered
for joint use potential. The facility will be available for use by other components. Sustainable principles, to include life cycle cost
effective practices, will be integrated into the design, development and construction of the project and will follow the guidance
detailed in the Army Sustainable Design and Development Policy complying with applicable laws and executive orders.",2026
"Hudson, Richard",NC,"Special Operations Forces (SOF) Joint Intelligence
Center (JIC)",81000,"Cumberland
and Hoke
Counties, NC",Fort Bragg,"H-2313 Psyop Lane,
Fort Bragg, North
Carolina 28303","Construct a Command and Control Facility for the 1st Special Forces Command (1SFC) (Airborne) at Fort Bragg,
North Carolina.
Details: Construct a two-story command and control facility consisting of general purpose administrative and
readiness modules, a secure working area, classrooms, conference rooms, and supporting infrastructure.
Construction will include a concrete foundation and floor slab, masonry exterior, and sloped metal roof. Special
features to meet DIA secure area certification requirements will be incorporated. Department of Defense principles
for high performance and sustainable building requirements will be included in the design and construction of the
project in accordance with federal laws and Executive Orders. Low Impact Development features will be included
in the design and construction of this project as appropriate. Appropriate cybersecurity measures will be applied to
the facility-related control systems in accordance with current Department of Defense criteria. Access for individuals
with disabilities will be provided. Comprehensive interior design and audio-visual services are included.","This project is required to provide an adequate facility that enables joint intelligence operations for 1SFC. The JIC
will provide essential Production, Exploitation, and Dissemination (PED) planning and conference space that
supports real world exercises and conventional and unconventional special and irregular warfare scenarios.",2026
"Hudson, Richard",NC,SOF Forward Operating Base Freedom Upgrades,44700,"Cumberland
and Hoke
Counties, NC",Fort Bragg,"Ashemont Road, Fort
Bragg, North Carolina
28315","To construct training facilities at Forward Operating Base Freedom (Freedom Village) for John. F. Kennedy
Special Warfare Center and School (JFKSWCS) in support of special operations training.
Details: Construct concrete block wall buildings on concrete foundation and floor slab for ready building,
organizational classroom, general instruction facility, simulation center, administration space, cadre space, field
latrine and supporting facilities on Forward Operating Base (FOB) Freedom and Freedom Village. Remove
temporary fabric and wooden structures and containers for the permanent training site. Demolition includes existing
concrete slabs and utilities. Department of Defense principles for high performance and sustainable building
requirements will be included in the design and construction of the project in accordance with federal laws and
Executive Orders. Low Impact Development features will be included in the design and construction of this project
as appropriate. Appropriate cybersecurity measures will be applied to the facility-related control systems in
accordance with current Department of Defense criteria. Access for individuals with disabilities will be provided.
Comprehensive interior design and audio-visual services are included.","This project is necessary to provide permanent facilities and infrastructure to support culmination exercises for Civil
Affairs, Psychological Operations, and Special Forces officer MOS producing courses plus urban evasion in SERE
training. Additionally, this project will accommodate Pre-Mission training for SOF units at Fort Bragg, NC. To
support this mission, the JFKSWCS requires adequate space and facilities, located on FOB Freedom and Freedom
Village, configured to accommodate SOF training. The FOB Freedom Training Facility will directly improve mission
readiness, providing expeditious service to SOF units.",2026
"Hudson, Richard",NC,Aircraft Maintenance Hangar,49000,"Rowan
County, NC","Salisbury Readiness
Complex","1195 National Guard
Road, Salisbury NC
28147","Construct 123,856sqft Aircraft maintenance hanger in order to provide consolidated maintenance, repair, and major
overhaul of military aircraft. Facility will include maintenance bay, tech supply, allied trades workshops, production
control, and quality control areas directly related to the maintenance of aircraft, and supervision of component and
assembly rebuilding, and quality control of aviation maintenance requirements for the NCARNG.","Originally constructed in 1976 to support Vietnam-era aircraft, NCARNG AASF #2 is now critically undersized
and its 1970s design struggles to accommodate modern aircraft and maintenance procedures. Mechanics currently
perform maintenance on 6-9 aircraft concurrently by utilizing three inadequate bays and outdoor areas, exposed to
all weather conditions.

This project directly addresses life, health, and safety concerns by providing appropriate facilities for personnel to
inspect and maintain aircraft. Currently, 50% of maintenance occurs on the parking apron or under the wash rack,
unnecessarily exposing staff to weather-related risks. This leads to equipment damage, potentially causing
catastrophic failures endangering both maintenance personnel and aircrew.

The limited space also reduces maintenance effectiveness, lowering operational readiness. Extended maintenance
timelines negatively impact safety and readiness, increasing operational hours between phases, raising O&M and
OPTEMPO costs, and accelerating airframe wear and tear.",2026
"Jacobs, Sara",CA,"Reconfigurable Cyber Laboratory, Naval Base Point
Loma",67690,"San Diego, CA","U.S. Navy, Naval
Base Point LOma","140 Sylvester Road
San Diego, CA 92106-
3251","Constructs a reconfigurable computational and analysis cyber laboratory to enable offensive and defensive cyber
teams to jointly test Command, Control, Communications, Computers and Intelligence Surveillance (C4I) systems in
one location to support fleet missions, shore sites and expeditionary forces.","An adequate and reconfigurable cyber laboratory facility is required to allow for controlled testing of different
platform configurations and systems as directed by Secretary of the Navy (SECNAV) and Chief of Naval
Operations (CNO) in responding to increased cyber missions. Operations in this facility are needed now. The
mission need date for this project is December 2029.",2026
"Kiggans, Jennifer A.",VA,"P-1261, EOD Expeditionary Mine Countermeasures
Facility, Joint Exped Base Little Creek – Fort Story,
Virginia",12000,"Virginia
Beach, VA","JEB Little Creek-
Fort Story","1300 Navy Pentagon,
Room 4C549
Arlington, VA  22202","This project constructs a new multi-story, multi-facility complex with operational, maintenance, planning and storage
space to accommodate new Expeditionary Mine Countermeasure (ExMCM) mission requirements assigned to
Explosive Ordinance Disposal Mobile Unit (EODMU) TWELVE and consolidated Mobile Diving & Salvage Unit
(MDSU) TWO mission requirements.","Without this project, EODMU TWELVE would require severe workarounds to maintain, store, and employ the
ExMCM Table of Allowance (TOA), ultimately affecting initial training and sustainment training and mission
response times. MDSU TWO would continue to operate within overall poor-to-failing facility, operate at 45%
capacity due to real property asset deficit, and require severe workarounds to support the ExMCM mission as well
as man, equip, and train Navy Divers on dive chambers operation and maintenance.",2026
"Kiggans, Jennifer A.",VA,P-1416 Naval Station Norfolk Power Upgrades (Pier 14),15000,"Norfolk, VA","Naval Station
Norfolk","1300 Navy Pentagon,
Room 4C549
Arlington, VA  22202","The project will provide substations, associated shore power stations, equipment, and primary cabling on Pier 14 to
power the Ford-class aircraft carrier, while maintaining operability of the existing shore power for Nimitz-class
Carriers. Without this project, Naval Station Norfolk will continue to have a capability gap in the lack of
redundancy (N+1) to berth Ford-class aircraft carriers at a second pier and will continue to have unreliable failing
electrical infrastructure supporting Nimitz-class aircraft carriers and Virginia/LA-class SSN missions.","This is a top priority for Naval Station Norfolk.  This upgrade will allow for the essential basing of Navy ships.
Without this project, Naval Station Norfolk will continue to have a capability gap in the lack of redundancy (N+1)
to berth Ford Class aircraft carriers at a second pier and will continue to have unreliable failing electrical
infrastructure supporting Nimitz Class aircraft carriers and Virginia/LA-class SSN missions.",2026
"Loudermilk, Barry",GA,Entry Control Facility,3200,"Marietta, GA","Dobbins Air Reserve
Base","884 Industrial Drive,
Bldg. 501
Dobbins Air Reserve
Base, GA 30176","The funding request of planning and design funds would assist in the early stages of construction preparation. The
existing entry to the base no longer meets counter-terrorism or stand-off standards and is too close to the highway in
front of the base. Dobbins ARB is expecting additional occupancy with the addition of the US Army Reserve’s 81st
Readiness Division. If not funded, the last of sufficient space for ingress to the base will result in servicemembers’
and guests’ vehicles waiting on a major US highway. Once the Entry Control Facility is completed, the base will be
able to handle the expected occupancy increase in compliance with counter-terrorism and stand-off standards.",Cobb County Chamber of Commerce support letter will be attached.,2026
"Moore, Blake D.",UT,F-35 Canopy Repair Facility,59000,"Hill AFB, UT","Utah Department of
Veterans and
Military Affairs","Hill Air Force Base,
7981 Georgia St,
Hill AFB, UT 84056.","The funding would be used to construct a single story medium bay industrial facility consisting of reinforced concrete
footings, foundation, and floor slabs, structural steel framed insulated masonry walls, and insulated steel frame roof.
The proposed facility is for the maintenance and repair of low observable canopy assemblies associated with F-35
fighter aircraft.

The project is an appropriate use of taxpayer funds because the Ogden Air Logistics Complex at Hill AFB has been
selected by the Air Force as the sole Deport Source of Repair for canopy repair work for all F-35 aircraft in the Air
Force inventory.

Additionally, the facility will support F-35 canopies for the Navy, Marines, and several of our allied nations.
Currently, F-35 canopy repair work is being done in building 271 and building 850, which are only able to support
a low initial production rate of six assemblies per month. This rate is acceptable at the present time, but as the Air
Force continues to acquire more F-35 aircraft, more of the canopy depot maintenance work currently being done
by the manufacturer will soon, by contract, be transferred to the Air Force; at which time a much larger repair
facility on base will need to be ready.","The proposed facility is for the maintenance and repair of low observable canopy assemblies associated with F-35
fighter aircraft. The facility will include enclosed loading dock(s), administrative office space, fire detection &
suppression, intrusion detection, and all other supporting elements for a complete and usable facility including: an
adequate parking lot, other required pavements, communication support, site lighting, and required utilities including
sanitary sewer, storm drain system, potable and non-potable water, electrical, and natural gas. F-35 aircraft have
been arriving at Hill AFB in increasing numbers to undergo Depot repair or modification since 2015. The facility will
provide a world class facility for the repair, maintenance, and modification of F-35's low observable canopy
assemblies. This project will also relocate and consolidate F-35 canopy workload. This consolidation will
significantly reduce depot facility energy consumption, operating costs, and logistic/schedule movements.",2026
"Moylan, James C.",GU,PDI: Defense Access Roads III,241880,"Dededo, GU","NAVFAC HQ
MILCON Program
Manager","Commander, Joint
Region Marianas Public
Affairs Office
PSC 455 Box 211
FPO AP, Guam 96540","This is a Defense Access Roads (DAR) project.
Constructs a single lane roundabout at Potts Junction. Proposed construction includes

removal and replacement of existing pavement as well as installation of new pavement.

Constructs concrete bridges to replace existing bridges in same locations along Route 1,

between Naval Base Guam and Finegayan Cantonment. Work for replacement of bridges includes

demolition of existing brdges and construction of new vehicle bridges.

Constructs strengthened roadways along Routes 1 and 3 to protect existing buried and

surface utilities. Work for minimizing impacts on the utilities includes strengthening the

pavement for one lane of travel in each direction. Pavement strengthening will consist of

thickened asphalt, aggregate base course, subbase and geogrid. Manholes, vaults and

surface utilities will be retrofitted or replaced as necessary.","If this project is not provided, there will be an increased rate of deterioration of the
roads, bridges and utilities, with high risk of failure. In some situations, (i.e. failed
cross culvert) a failure could render the road impassable. If a bridge were to
catastropically collapse or a culvert/utility were to collapse, injury, major property
damage, and even death could occur. A collapsed bridge or a collapsed culvert/utility
would disrupt the roadway network and cause significant inconvenience and economic impact
to Guam, and greatly impact military operations for those who rely on Routes 1 and 3.
Additionally, emergency services could be significantly impacted as detours of up to 35
miles would be required for some of the areas on Route 1. Furthermore, the level of
service of traffic traversing through the Potts Junction intersection will be
significantly degraded. The increased level of congestion is not acceptable and will
contribute negatively to the successful completion of the new mission facilities required
to support the relocation of Marines from Okinawa to Guam.",2026
"Olszewski, Johnny,
Jr.",MD,Martin Runway Improvement Program,2000,"Baltimore
County, MD","Maryland Air
National Guard","701 Wilson Point Rd,
Middle River, MD
21220","Funds will be used to properly configure the runway in order to make it free of obstructions with remaining
obstructions clearly marked

The project is an appropriate use of taxpayer funds because it will support the operational and training requirements
of the assigned A-10 aircraft and other aircraft in the greater Washington-Baltimore area.","The runway located on Martin State Airport in Baltimore County is owned, operated, and maintained by the
Maryland Aviation Administration (MAA), the state-chartered airport authority. The Maryland Air National Guard
(MDANG) shares in the use of the airfield facilities under an Airport Joint Use Agreement. The runway is was
reconstructed/ reconfigured to a length of 8,100 liner feet by 150 liner feet wide under an existing project.
Requested funds would be used properly configure the runway in order to make it free of obstructions with
remaining obstructions clearly marked/ light in order to support the operational and training requirements of the
assigned A-10 aircraft and other aircraft in the greater Washington-Baltimore area.
1. Removal of vegetative obstructions in accordance with Federal Aviation Regulation (FAR) Part 77 Approach
and Transitional surfaces located on airport owned property (main campus) and the Approach and Transitional
surfaces within the Runway Protection Zone (RPZ) located on airport owned property, as well as airport owned
property north of Eastern Boulevard/Amtrak. (75 acres)
2. Installation/construction of obstruction lighting along the sidelines of the runway to alert pilots to presence of FAR
Part 77 obstructions (vegetation) remaining after the removal effort. Installation of obstruction lighting along Amtrak
line to alert pilots to presence of FAR Part 77 obstructions (lowered catenary poles) remaining after the removal
effort. (16 lights)
3. This project also includes tree mitigation required to replenish the forested resources removed under this effort,
and to account for stream impacts anticipated during construction.",2026
"Rogers, Mike",AL,Access Control Point,89000,"Anniston , AL","Anniston Army
Depot","7 Frankford Ave
Anniston, AL 36201","Provide Anniston Army Depot (ANAD) with an efficient Main Gate and Entry Control Facilities (ECF). The main
gate and entrance control facilities should include an Access Control Point (ACP), Commercial Vehicle Inspection
Facility (CVIF), Visitor Control Center (VCC), and roadway infrastructure necessary to provide efficient incoming
and outgoing flow from ANAD. Project also includes all necessary utility services and connections, fire protection,
parking areas, information systems, signage, site improvements, and demolition of currently utilized facilities that are
replaced as part of the project.","Provide Anniston Army Depot (ANAD) with an efficient Main Gate and Entry Control Facilities (ECF). The main
gate and entrance control facilities should include an Access Control Point (ACP), Commercial Vehicle Inspection
Facility (CVIF), Visitor Control Center (VCC), and roadway infrastructure necessary to provide efficient incoming
and outgoing flow from ANAD. Project also includes all necessary utility services and connections, fire protection,
parking areas, information systems, signage, site improvements, and demolition of currently utilized facilities that are
replaced as part of the project.",2026
"Rogers, Mike",AL,Anniston Army Depot General Purpose Warehouse,32000,"Anniston , AL","Anniston Army
Depot","7 Frankford Ave
Anniston, AL 36201","Construct a new permanent General-Purpose Warehouse (GPW), with administrative space replacing 2 existing
warehouse structures. The primary facility is a permanent, noncombustible GPW with concrete floors (epoxy sealed
tops) and a 20-foot (6.09-meter) clear interior stacking height. An interior annex space will include a warehouse
administration office, training/conference facility, locker/shower/latrine, security office, fire suppression, mechanical,
electrical and communications. Additionally, installation of an Intrusion Detection System (IDS) and connection to
Utility Monitoring Control Systems (UMCS) will be provided. Sustainable Design and Development (SOD) and
Energy Policy Act 2005 (EPActo5), and Energy Independence and Security Act (EISA) OF 2007 features will be
provided. Sustainable principles, to include life-cycle cost effective practices and Low Impact Development
Integrated Management Practices (LID-IMPs) and sustainability and energy enhancement measures will be
integrated into the development, design and construction of the project. Administrative areas will be accessible for
persons with disabilities. Supporting facilities include site development, all utilities and connections, fire protection,
storm drainage, lighting, paving (access roadways, hardstand aprons, parking) walks, curbs and gutters,
landscaping, and signage. Administrative offices will be provided heat and air conditioning while the warehouse will
be ventilated. Buildings 60 and 61 at ANAD will be demolished, and the associated storage capacity will be
included in the new warehouse capacity. Measures in accordance with the Department of Defense (DoD) minimum
antiterrorism standards for the building will be provided.","Provide Anniston Army Depot (ANAD) with an efficient Main Gate and Entry Control Facilities (ECF). The main
gate and entrance control facilities should include an Access Control Point (ACP), Commercial Vehicle Inspection
Facility (CVIF), Visitor Control Center (VCC), and roadway infrastructure necessary to provide efficient incoming
and outgoing flow from ANAD. Project also includes all necessary utility services and connections, fire protection,
parking areas, information systems, signage, site improvements, and demolition of currently utilized facilities that are
replaced as part of the project.",2026
"Moore, Blake D.",UT,F-35 Canopy Repair Facility,59000,"Hill AFB, UT","Utah Department of
Veterans and
Military Affairs","Hill Air Force Base,
7981 Georgia St,
Hill AFB, UT 84056.","The funding would be used to construct a single story medium bay industrial facility consisting of reinforced concrete
footings, foundation, and floor slabs, structural steel framed insulated masonry walls, and insulated steel frame roof.
The proposed facility is for the maintenance and repair of low observable canopy assemblies associated with F-35
fighter aircraft.

The project is an appropriate use of taxpayer funds because the Ogden Air Logistics Complex at Hill AFB has been
selected by the Air Force as the sole Deport Source of Repair for canopy repair work for all F-35 aircraft in the Air
Force inventory.

Additionally, the facility will support F-35 canopies for the Navy, Marines, and several of our allied nations.
Currently, F-35 canopy repair work is being done in building 271 and building 850, which are only able to support
a low initial production rate of six assemblies per month. This rate is acceptable at the present time, but as the Air
Force continues to acquire more F-35 aircraft, more of the canopy depot maintenance work currently being done
by the manufacturer will soon, by contract, be transferred to the Air Force; at which time a much larger repair
facility on base will need to be ready.","The proposed facility is for the maintenance and repair of low observable canopy assemblies associated with F-35
fighter aircraft. The facility will include enclosed loading dock(s), administrative office space, fire detection &
suppression, intrusion detection, and all other supporting elements for a complete and usable facility including: an
adequate parking lot, other required pavements, communication support, site lighting, and required utilities including
sanitary sewer, storm drain system, potable and non-potable water, electrical, and natural gas. F-35 aircraft have
been arriving at Hill AFB in increasing numbers to undergo Depot repair or modification since 2015. The facility will
provide a world class facility for the repair, maintenance, and modification of F-35's low observable canopy
assemblies. This project will also relocate and consolidate F-35 canopy workload. This consolidation will
significantly reduce depot facility energy consumption, operating costs, and logistic/schedule movements.",2026
"Moylan, James C.",GU,PDI: Defense Access Roads III,241880,"Dededo, GU","NAVFAC HQ
MILCON Program
Manager","Commander, Joint
Region Marianas Public
Affairs Office
PSC 455 Box 211
FPO AP, Guam 96540","This is a Defense Access Roads (DAR) project.
Constructs a single lane roundabout at Potts Junction. Proposed construction includes

removal and replacement of existing pavement as well as installation of new pavement.

Constructs concrete bridges to replace existing bridges in same locations along Route 1,

between Naval Base Guam and Finegayan Cantonment. Work for replacement of bridges includes

demolition of existing brdges and construction of new vehicle bridges.

Constructs strengthened roadways along Routes 1 and 3 to protect existing buried and

surface utilities. Work for minimizing impacts on the utilities includes strengthening the

pavement for one lane of travel in each direction. Pavement strengthening will consist of

thickened asphalt, aggregate base course, subbase and geogrid. Manholes, vaults and

surface utilities will be retrofitted or replaced as necessary.","If this project is not provided, there will be an increased rate of deterioration of the
roads, bridges and utilities, with high risk of failure. In some situations, (i.e. failed
cross culvert) a failure could render the road impassable. If a bridge were to
catastropically collapse or a culvert/utility were to collapse, injury, major property
damage, and even death could occur. A collapsed bridge or a collapsed culvert/utility
would disrupt the roadway network and cause significant inconvenience and economic impact
to Guam, and greatly impact military operations for those who rely on Routes 1 and 3.
Additionally, emergency services could be significantly impacted as detours of up to 35
miles would be required for some of the areas on Route 1. Furthermore, the level of
service of traffic traversing through the Potts Junction intersection will be
significantly degraded. The increased level of congestion is not acceptable and will
contribute negatively to the successful completion of the new mission facilities required
to support the relocation of Marines from Okinawa to Guam.",2026
"Olszewski, Johnny,
Jr.",MD,Martin Runway Improvement Program,2000,"Baltimore
County, MD","Maryland Air
National Guard","701 Wilson Point Rd,
Middle River, MD
21220","Funds will be used to properly configure the runway in order to make it free of obstructions with remaining
obstructions clearly marked

The project is an appropriate use of taxpayer funds because it will support the operational and training requirements
of the assigned A-10 aircraft and other aircraft in the greater Washington-Baltimore area.","The runway located on Martin State Airport in Baltimore County is owned, operated, and maintained by the
Maryland Aviation Administration (MAA), the state-chartered airport authority. The Maryland Air National Guard
(MDANG) shares in the use of the airfield facilities under an Airport Joint Use Agreement. The runway is was
reconstructed/ reconfigured to a length of 8,100 liner feet by 150 liner feet wide under an existing project.
Requested funds would be used properly configure the runway in order to make it free of obstructions with
remaining obstructions clearly marked/ light in order to support the operational and training requirements of the
assigned A-10 aircraft and other aircraft in the greater Washington-Baltimore area.
1. Removal of vegetative obstructions in accordance with Federal Aviation Regulation (FAR) Part 77 Approach
and Transitional surfaces located on airport owned property (main campus) and the Approach and Transitional
surfaces within the Runway Protection Zone (RPZ) located on airport owned property, as well as airport owned
property north of Eastern Boulevard/Amtrak. (75 acres)
2. Installation/construction of obstruction lighting along the sidelines of the runway to alert pilots to presence of FAR
Part 77 obstructions (vegetation) remaining after the removal effort. Installation of obstruction lighting along Amtrak
line to alert pilots to presence of FAR Part 77 obstructions (lowered catenary poles) remaining after the removal
effort. (16 lights)
3. This project also includes tree mitigation required to replenish the forested resources removed under this effort,
and to account for stream impacts anticipated during construction.",2026
"Rogers, Mike",AL,Access Control Point,89000,"Anniston , AL","Anniston Army
Depot","7 Frankford Ave
Anniston, AL 36201","Provide Anniston Army Depot (ANAD) with an efficient Main Gate and Entry Control Facilities (ECF). The main
gate and entrance control facilities should include an Access Control Point (ACP), Commercial Vehicle Inspection
Facility (CVIF), Visitor Control Center (VCC), and roadway infrastructure necessary to provide efficient incoming
and outgoing flow from ANAD. Project also includes all necessary utility services and connections, fire protection,
parking areas, information systems, signage, site improvements, and demolition of currently utilized facilities that are
replaced as part of the project.","Provide Anniston Army Depot (ANAD) with an efficient Main Gate and Entry Control Facilities (ECF). The main
gate and entrance control facilities should include an Access Control Point (ACP), Commercial Vehicle Inspection
Facility (CVIF), Visitor Control Center (VCC), and roadway infrastructure necessary to provide efficient incoming
and outgoing flow from ANAD. Project also includes all necessary utility services and connections, fire protection,
parking areas, information systems, signage, site improvements, and demolition of currently utilized facilities that are
replaced as part of the project.",2026
"Rogers, Mike",AL,Anniston Army Depot General Purpose Warehouse,32000,"Anniston , AL","Anniston Army
Depot","7 Frankford Ave
Anniston, AL 36201","Construct a new permanent General-Purpose Warehouse (GPW), with administrative space replacing 2 existing
warehouse structures. The primary facility is a permanent, noncombustible GPW with concrete floors (epoxy sealed
tops) and a 20-foot (6.09-meter) clear interior stacking height. An interior annex space will include a warehouse
administration office, training/conference facility, locker/shower/latrine, security office, fire suppression, mechanical,
electrical and communications. Additionally, installation of an Intrusion Detection System (IDS) and connection to
Utility Monitoring Control Systems (UMCS) will be provided. Sustainable Design and Development (SOD) and
Energy Policy Act 2005 (EPActo5), and Energy Independence and Security Act (EISA) OF 2007 features will be
provided. Sustainable principles, to include life-cycle cost effective practices and Low Impact Development
Integrated Management Practices (LID-IMPs) and sustainability and energy enhancement measures will be
integrated into the development, design and construction of the project. Administrative areas will be accessible for
persons with disabilities. Supporting facilities include site development, all utilities and connections, fire protection,
storm drainage, lighting, paving (access roadways, hardstand aprons, parking) walks, curbs and gutters,
landscaping, and signage. Administrative offices will be provided heat and air conditioning while the warehouse will
be ventilated. Buildings 60 and 61 at ANAD will be demolished, and the associated storage capacity will be
included in the new warehouse capacity. Measures in accordance with the Department of Defense (DoD) minimum
antiterrorism standards for the building will be provided.","Provide Anniston Army Depot (ANAD) with an efficient Main Gate and Entry Control Facilities (ECF). The main
gate and entrance control facilities should include an Access Control Point (ACP), Commercial Vehicle Inspection
Facility (CVIF), Visitor Control Center (VCC), and roadway infrastructure necessary to provide efficient incoming
and outgoing flow from ANAD. Project also includes all necessary utility services and connections, fire protection,
parking areas, information systems, signage, site improvements, and demolition of currently utilized facilities that are
replaced as part of the project.",2026
"Rutherford, John H.",FL,"P670 Multi Aircraft Paint & Strip Facility Planning and
Design",265150,"Jacksonville,
FL","Naval Air Station
Jacksonville","Commanding Officer
Jacksonville, FL 32212","This project would provide planning and design funding for a multi-story, reinforced concrete structure consisting of
one large aircraft paint bay, seven small aircraft paint bays, and a multi-story administration/equipment area. Support
spaces will include paint mixing and equipment storage. This project would be to support Fleet Readiness Center
Southeast.","A safe, environmentally compliant, and well-designed paint and strip facility is required to support depot aircraft
maintenance and repair services to the fleet. New paint requirements force Fleet Readiness Center Southeast to
upgrade current facilities. New building design is required to meet these needs. Paint operations include multiple
hangars for prime and paint workload for the F/A18 A-F, H-60, F-5, T-6, T-44, T-45, F-35, and P-8A. Paint is
an essential part of the operations process to return aircraft to the fleet. Current facilities are inadequate in size and
quantity for future workload. Without this project, paint operations will continue to operate without proper
ventilation and constant rework will occur. Future workload will fall into backlog as workload increases and facilities
will continue to degrade. Undesirable, inefficient painting methods as well as heat safety issues will continue to be
normal operations.",2026
"Rutherford, John H.",FL,P034 Communications Center & Infrastructure,82140,"Jacksonville,
FL","Marine Corps
Support Facility
Blount Island","Marine Corps Support
Facility Blount Island
5880 Channel View
Blvd
Jacksonville, FL
32226","This project replaces and upgrades existing data and voice communication infrastructure throughout the installation
to the entry point of each Blount Island building. Provides low-rise communication center that will operate and
maintain data and communications systems serving Blount Island. Proposed construction is steel-frame with
reinforced concrete masonry unit walls, standing seam metal roof, and pile foundations. This project is included in
the FY 25 FYDP for FY 28. Facility-related control systems include cybersecurity features in accordance with
current Department of Defense (DoD) criteria. Built-in equipment includes backup diesel generators, computer
room air conditioning units (CRAC), clean agent fire suppression system, vehicle exhaust system, one
passenger/freight combination elevator, storage cages and shelving, uninterruptable power source (UPS) and
communications racks and cabinets.","The MCSF-BI mission is to support the Blount Island Command's (BICmd) Maritime Prepositioning Force (MPF)
and growing Global Positioning Network (GPN) program and its mission of supporting worldwide military
operations through planning, coordinating, and executing the logistics efforts of the MPF program. MCSF-BI S6,
BICmd 931, and 2NB comprise the communication function. They require a communications center for network,
telecom, cyber security and maintenance to support operations, locally and around the globe. Current facility is
undersized and personnel and equipment are located within the minimum Explosive Safety Quantity Distance
(ESQD) arc for ammunition operations. This is a major command and control vulnerability in the event of an
explosive incident. Force Design 2030 established Commandant of the Marine Corps (CMC) priorities including
requirements for Installation Communications Grid. Blount Island communication infrastructure was not upgraded in
the MARCORSYSCOM Base Telephone Infrastructure Upgrade (BTIU) program of 2000 and has remained as
essentially 1970/1980 technology with the exception of spot fixes and limited repairs. The primary issue with
configuration is daisy-chaining the network from one building to the next which can cause outages for facilities
downstream of an initial outage. In addition, facilities do not have redundant communication sources.",2026
"Rutherford, John H.",FL,P683 F35 Aircraft Engine Repair Facility,374660,"Jacksonville,
FL","Naval Air Station
Jacksonville","Commanding Officer
Jacksonville, FL 32212","This project consists of new construction of an aircraft engine repair facility at Fleet Readiness Center Southeast
which includes administrative space and associated adjacent parking facilities. Built-in equipment includes 37 bridge
dual hoist cranes (5 ton), crane rails, cylinders, and five passenger/freight elevators. This project is included on the
FY 25 FYDP as incremental funding in FY27 and FY28.","The funding would be used for new construction of an aircraft engine repair facility which includes administrative
space and associated adjacent parking facilities.  This facility is in support of the new mission for the Maintenance,
Repair, Overhaul, and Upgrade for the F135 engines at Fleet Readiness Center Southeast. This project is included
on the FY 25 FYDP as incremental funding in FY27 and FY28.

Fleet Readiness Center Southeast provides efficient, high quality, and cost effective Maintenance, Repair, Overhaul,
and Upgrade (MRO&U) of aircraft, engines, and aeronautical components to support the American Warfighter.
This project is required for FRCSE to meet new program capacity requirements by 2034 to support the F135
engines that power all three variants of the F-35 Lightning II fighter aircraft. Current projections of all modules show
a steady state of 360 events per year at FRCSE: output of 120 power modules, 120 fans, 60 augmenters, and 60
nozzles. An estimated 400 will be required to support the mission.",2026
"Rutherford, John H.",FL,P290 Child Development Center Planning and Design,45750,"Jacksonville,
FL","Naval Air Station
Jacksonville","Commanding Officer
Jacksonville, FL 32212","This project provides the planning and design funding of a one story Child Development Center (CDC) properly
located, configured, and designed to meet the requirements of FC 4-740-14N and other pertinent codes/criteria for
workflow, building system/infrastructure function( for utilities and access routes) to support the CDC mission on
board NAS Jacksonville.  This project is in the FY 25 FYDP for FY28.","The funding would be used for the planning and design of a one-story Child Development Center (CDC) to provide
additional childcare capacity for the military personnel, authorized civilians, and their families with full time, quality
childcare and development for children. While NAS Jacksonville's childcare programs have been successful, their is
currently a significant wait list for the existing CDC.",2026
"Strickland, Marilyn",WA,"Washington Air National Guard - Western Air Defense
Sector - Generator Replacement",2800,"JBLM, WA","Washington Air
National Guard -
Western Air Defens","852 Lincoln Blvd
JBLM, WA 98538","The generators are over 20 years old and no longer supported by the manufacturer. The switch gear is over 40
years old and not compatible with any generator operating system. Generator and switch failure will have loss of
